What is your course?,Do you have Depression?
ALA,1.0
Accounting ,0.0
BCS,0.2777777777777778
BENL,1.0
BIT,0.5
Banking Studies,0.0
Benl,0.0
Biomedical science,0.0
Biotechnology,0.0
Business Administration,0.0
CTS,0.0
Communication ,1.0
DIPLOMA TESL,0.0
Diploma Nursing,0.0
ENM,1.0
Econs,1.0
Engine,0.0
Engineering,0.4117647058823529
Fiqh,0.0
Fiqh fatwa ,0.0
Human Resources,0.0
Human Sciences ,0.0
IT,0.0
Irkhs,0.0
Islamic Education,0.0
Islamic education,0.0
KENMS,0.0
KIRKHS,0.0
KOE,0.25
Kirkhs,0.0
Koe,0.0
Kop,0.0
Law,1.0
Laws,0.5
MHSC,1.0
Malcom,1.0
Marine science,1.0
Mathemathics,0.0
Nursing ,1.0
Pendidikan Islam,0.0
Pendidikan Islam ,0.0
Pendidikan islam,1.0
Psychology,0.0
Radiography,0.0
TAASL,0.0
Usuluddin ,1.0
engin,0.0
koe,1.0
psychology,1.0
